| Channel | Frequency (MHz) | Mode | Name          | Notes                                      |
|---------|-----------------|------|---------------|--------------------------------------------|
| 0       | 476.425         | FM   | UHF CB 1      | UHF CB Ch 1, licence-free (5W max)         |
| 1       | 476.450         | FM   | UHF CB 2      | UHF CB Ch 2, licence-free (5W max)         |
| 2       | 476.475         | FM   | UHF CB 3      | UHF CB Ch 3, licence-free (5W max)         |
| 3       | 476.500         | FM   | UHF CB 4      | UHF CB Ch 4, licence-free (5W max)         |
| 4       | 476.525         | FM   | UHF CB 5      | UHF CB Ch 5, emergency (5W max)            |
| 5       | 476.550         | FM   | UHF CB 6      | UHF CB Ch 6, licence-free (5W max)         |
| 6       | 476.575         | FM   | UHF CB 7      | UHF CB Ch 7, licence-free (5W max)         |
| 7       | 476.600         | FM   | UHF CB 8      | UHF CB Ch 8, licence-free (5W max)         |
| 8       | 27.055          | AM   | CB 7          | 27 MHz CB Ch 7, licence-free (4W max)      |
| 9       | 27.085          | AM   | CB 9          | 27 MHz CB Ch 9, emergency (4W max)         |
| 10      | 27.115          | AM   | CB 11         | 27 MHz CB Ch 11, calling (4W max)          |
| 11      | 27.165          | AM   | CB 14         | 27 MHz CB Ch 14, licence-free (4W max)     |
| 12      | 27.215          | AM   | CB 17         | 27 MHz CB Ch 17, licence-free (4W max)     |
| 13      | 27.245          | AM   | CB 20         | 27 MHz CB Ch 20, licence-free (4W max)     |
| 14      | 27.285          | AM   | CB 23         | 27 MHz CB Ch 23, licence-free (4W max)     |
| 15      | 27.335          | AM   | CB 27         | 27 MHz CB Ch 27, licence-free (4W max)     |
| 16      | 145.500         | FM   | 2M Calling    | 2m calling frequency (amateur licence)     |
| 17      | 145.425         | FM   | 2M Simplex    | 2m simplex (amateur licence)               |
| 18      | 146.500         | FM   | 2M Rptr VK2A  | 2m repeater out, –0.6 MHz (amateur licence)|
| 19      | 146.675         | FM   | 2M Rptr VK2B  | 2m repeater out, –0.6 MHz (amateur licence)|
| 20      | 433.500         | FM   | 70CM Calling  | 70cm calling frequency (amateur licence)   |
| 21      | 433.400         | FM   | 70CM Simplex  | 70cm simplex (amateur licence)             |
| 22      | 439.100         | FM   | 70CM Rptr VK2C| 70cm repeater out, –5 MHz (amateur licence)|
| 23      | 439.200         | FM   | 70CM Rptr VK2D| 70cm repeater out, –5 MHz (amateur licence)|
| 24      | 156.050         | FM   | MARINE 1      | Marine ship-to-ship (RX only unless licensed) |
| 25      | 156.800         | FM   | MARINE 16     | Marine distress & calling (RX only)        |
