| Channel | Frequency (MHz) | Mode | Name          | Notes                                      |
|---------|-----------------|------|---------------|--------------------------------------------|
| 0       | 27.015          | AM   | CB 4          | Citizen Band Ch 4, licence-free (4W max)   |
| 1       | 27.045          | AM   | CB 6          | Citizen Band Ch 6, licence-free (4W max)   |
| 2       | 27.075          | AM   | CB 8          | Citizen Band Ch 8, licence-free (4W max)   |
| 3       | 27.105          | AM   | CB 10         | Citizen Band Ch 10, licence-free (4W max)  |
| 4       | 27.135          | AM   | CB 12         | Citizen Band Ch 12, licence-free (4W max)  |
| 5       | 27.165          | AM   | CB 14         | Citizen Band Ch 14, licence-free (4W max)  |
| 6       | 27.205          | AM   | CB 17         | Citizen Band Ch 17, licence-free (4W max)  |
| 7       | 27.245          | AM   | CB 20         | Citizen Band Ch 20, licence-free (4W max)  |
| 8       | 446.00625       | FM   | PMR 1         | PMR446 Ch 1, licence-free (0.5W max)       |
| 9       | 446.01875       | FM   | PMR 2         | PMR446 Ch 2, licence-free (0.5W max)       |
| 10      | 446.03125       | FM   | PMR 3         | PMR446 Ch 3, licence-free (0.5W max)       |
| 11      | 446.04375       | FM   | PMR 4         | PMR446 Ch 4, licence-free (0.5W max)       |
| 12      | 446.05625       | FM   | PMR 5         | PMR446 Ch 5, licence-free (0.5W max)       |
| 13      | 446.06875       | FM   | PMR 6         | PMR446 Ch 6, licence-free (0.5W max)       |
| 14      | 446.08125       | FM   | PMR 7         | PMR446 Ch 7, licence-free (0.5W max)       |
| 15      | 446.09375       | FM   | PMR 8         | PMR446 Ch 8, licence-free (0.5W max)       |
| 16      | 146.520         | FM   | 2M Calling    | 2m calling frequency (amateur licence)     |
| 17      | 146.550         | FM   | 2M Simplex    | 2m simplex (amateur licence)               |
| 18      | 145.230         | FM   | 2M Rptr PY2A  | 2m repeater out, –0.6 MHz (amateur licence)|
| 19      | 145.290         | FM   | 2M Rptr PY2B  | 2m repeater out, –0.6 MHz (amateur licence)|
| 20      | 446.000         | FM   | 70CM Calling  | 70cm calling frequency (amateur licence)   |
| 21      | 446.050         | FM   | 70CM Simplex  | 70cm simplex (amateur licence)             |
| 22      | 444.100         | FM   | 70CM Rptr PY2C| 70cm repeater out, +5 MHz (amateur licence)|
| 23      | 444.200         | FM   | 70CM Rptr PY2D| 70cm repeater out, +5 MHz (amateur licence)|
| 24      | 156.050         | FM   | MARINE 1      | Marine ship-to-ship (RX only unless licensed) |
| 25      | 156.800         | FM   | MARINE 16     | Marine distress & calling (RX only)        |
| 26      | 156.850         | FM   | MARINE 17     | Marine inter-ship (RX only)                |
| 27      | 157.000         | FM   | MARINE 20     | Marine port ops (RX only)                  |
| 28      | 157.025         | FM   | MARINE 80     | Marine non-commercial (RX only)            |
| 29      | 121.500         | AM   | AIR EMG       | Aviation emergency (RX only)               |
| 30      | 123.450         | AM   | AIR Chat      | Air-to-air chat (RX only)                  |
| 31      | 118.100         | AM   | GRU TWR       | São Paulo Guarulhos Tower (RX only)        |
| 32      | 88.1            | FM   | Jovem Pan     | Jovem Pan São Paulo (FM preset, RX only)   |
| 33      | 89.1            | FM   | Alpha FM      | Alpha FM São Paulo (FM preset, RX only)    |
| 34      | 90.5            | FM   | Nativa FM     | Nativa FM São Paulo (FM preset, RX only)   |
| 35      | 50.500          | FM   | 6M Calling    | 6m calling frequency (amateur licence)     |
| 36      | 51.500          | FM   | 6M Simplex    | 6m simplex (amateur licence)               |
| 37      | 1296.200        | FM   | 23CM Calling  | 23cm calling frequency (amateur licence)   |
| 38      | 1296.000        | FM   | 23CM Simplex  | 23cm simplex (amateur licence)             |
| 39      | 144.200         | SSB  | 2M SSB Call   | 2m SSB calling (amateur licence)           |
| 40      | 432.100         | SSB  | 70CM SSB Call | 70cm SSB calling (amateur licence)         |
| 41      | 144.390         | FM   | APRS NA       | APRS North America (amateur licence)       |
| 42      | 145.350         | FM   | 2M Rptr PY2E  | 2m repeater out, –0.6 MHz (amateur licence)|
| 43      | 145.410         | FM   | 2M Rptr PY2F  | 2m repeater out, –0.6 MHz (amateur licence)|
| 44      | 444.300         | FM   | 70CM Rptr PY2G| 70cm repeater out, +5 MHz (amateur licence)|
| 45      | 444.400         | FM   | 70CM Rptr PY2H| 70cm repeater out, +5 MHz (amateur licence)|
| 46      | 156.300         | FM   | MARINE 6      | Marine safety (RX only)                    |
| 47      | 156.400         | FM   | MARINE 8      | Marine ship-to-ship (RX only)              |
| 48      | 156.450         | FM   | MARINE 9      | Marine ship-to-ship (RX only)              |
| 49      | 156.625         | FM   | MARINE 72     | Marine non-commercial (RX only)            |
| 50      | 156.675         | FM   | MARINE 73     | Marine port ops (RX only)                  |
| 51      | 156.925         | FM   | MARINE 78A    | Marine non-commercial (RX only)            |
| 52      | 157.050         | FM   | MARINE 81A    | Marine coastal (RX only)                   |
| 53      | 157.150         | FM   | MARINE 83A    | Marine coastal (RX only)                   |
| 54      | 118.900         | AM   | GIG TWR       | Rio de Janeiro Galeão Tower (RX only)      |
| 55      | 125.200         | AM   | CNF APP       | Belo Horizonte Approach (RX only)          |
| 56      | 91.5            | FM   | Mix FM        | Mix FM São Paulo (FM preset, RX only)      |
| 57      | 92.5            | FM   | Nova Brasil   | Nova Brasil FM São Paulo (FM preset, RX only) |
| 58      | 93.7            | FM   | 93 FM         | 93 FM São Paulo (FM preset, RX only)       |
| 59      | 27.085          | AM   | CB 9          | CB Ch 9, emergency channel (4W max)        |
| 60      | 27.185          | AM   | CB 16         | Citizen Band Ch 16, licence-free (4W max)  |
| 61      | 27.265          | AM   | CB 21         | Citizen Band Ch 21, licence-free (4W max)  |
| 62      | 50.200          | FM   | 6M SSB Call   | 6m SSB calling (amateur licence)           |
| 63      | 52.525          | FM   | 6M FM Call    | 6m FM calling (amateur licence)            |
| 64      | 145.790         | FM   | ISS Downlink  | ISS amateur downlink (amateur licence)     |
| 65      | 144.600         | FM   | 2M Data       | 2m data freq example (amateur licence)     |
| 66      | 432.600         | FM   | 70CM Data     | 70cm data freq example (amateur licence)   |
| 67      | 1296.500        | FM   | 23CM Data     | 23cm data freq example (amateur licence)   |
| 68      | 50.800          | FM   | 6M Beacon     | 6m beacon freq example (amateur licence)   |
| 69      | 144.250         | FM   | 2M Beacon     | 2m beacon freq example (amateur licence)   |
| 70      | 432.500         | FM   | 70CM Beacon   | 70cm beacon example (amateur licence)      |
| 71      | 1297.000        | FM   | 23CM Beacon   | 23cm beacon example (amateur licence)      |
| 72      | 156.525         | FM   | MARINE 70     | DSC distress (RX only)                     |
| 73      | 156.575         | FM   | MARINE 71     | Marine non-commercial (RX only)            |
| 74      | 156.725         | FM   | MARINE 74     | Marine port ops (RX only)                  |
| 75      | 157.025         | FM   | MARINE 80A    | Marine non-commercial (RX only)            |
| 76      | 157.075         | FM   | MARINE 21A    | Marine coastal (RX only)                   |
| 77      | 123.100         | AM   | SAR AIR       | Search & Rescue air freq (RX only)         |
| 78      | 122.800         | AM   | UNICOM        | Unicom general aviation (RX only)          |
| 79      | 119.100         | AM   | BSB TWR       | Brasília Tower example (RX only)           |
| 80      | 125.900         | AM   | SSA APP       | Salvador Approach example (RX only)        |
| 81      | 94.7            | FM   | CBN SP        | CBN São Paulo (FM preset, RX only)         |
| 82      | 95.9            | FM   | Band FM       | Band FM São Paulo (FM preset, RX only)     |
| 83      | 96.9            | FM   | Trans FM      | Transcontinental FM SP (FM preset, RX only)|
| 84      | 145.170         | FM   | 2M Rptr PY2I  | 2m repeater out, –0.6 MHz (amateur licence)|
| 85      | 145.430         | FM   | 2M Rptr PY2J  | 2m repeater out, –0.6 MHz (amateur licence)|
| 86      | 444.500         | FM   | 70CM Rptr PY2K| 70cm repeater out, +5 MHz (amateur licence)|
| 87      | 444.600         | FM   | 70CM Rptr PY2L| 70cm repeater out, +5 MHz (amateur licence)|
| 88      | 156.375         | FM   | MARINE 67     | Marine small craft safety (RX only)        |
| 89      | 156.650         | FM   | MARINE 13     | Bridge-to-bridge (RX only)                 |
| 90      | 156.600         | FM   | MARINE 12     | Marine port ops (RX only)                  |
| 91      | 156.700         | FM   | MARINE 14     | Marine port ops (RX only)                  |
| 92      | 156.875         | FM   | MARINE 77     | Marine inter-ship (RX only)                |
| 93      | 157.200         | FM   | MARINE 24     | Marine public correspondence (RX only)     |
| 94      | 157.250         | FM   | MARINE 25     | Marine public correspondence (RX only)     |
| 95      | 157.300         | FM   | MARINE 26     | Marine public correspondence (RX only)     |
| 96      | 157.350         | FM   | MARINE 27     | Marine public correspondence (RX only)     |
| 97      | 157.400         | FM   | MARINE 28     | Marine public correspondence (RX only)     |
| 98      | 118.700         | AM   | VCP TWR       | Campinas Viracopos Tower (RX only)         |
