| Channel | Frequency (MHz) | Mode | Name          | Notes                                      |
|---------|-----------------|------|---------------|--------------------------------------------|
| 0       | 27.005          | AM   | CB 1          | 27 MHz CB Ch 1, licence-free (1W max)      |
| 1       | 27.015          | AM   | CB 2          | 27 MHz CB Ch 2, licence-free (1W max)      |
| 2       | 27.025          | AM   | CB 3          | 27 MHz CB Ch 3, licence-free (1W max)      |
| 3       | 27.035          | AM   | CB 4          | 27 MHz CB Ch 4, licence-free (1W max)      |
| 4       | 27.045          | AM   | CB 5          | 27 MHz CB Ch 5, emergency (1W max)         |
| 5       | 27.055          | AM   | CB 6          | 27 MHz CB Ch 6, licence-free (1W max)      |
| 6       | 27.065          | AM   | CB 7          | 27 MHz CB Ch 7, licence-free (1W max)      |
| 7       | 27.075          | AM   | CB 8          | 27 MHz CB Ch 8, calling (1W max)           |
| 8       | 446.00625       | FM   | PMR 1         | PMR446 Ch 1, licence-free (0.5W max)       |
| 9       | 446.01875       | FM   | PMR 2         | PMR446 Ch 2, licence-free (0.5W max)       |
| 10      | 446.03125       | FM   | PMR 3         | PMR446 Ch 3, licence-free (0.5W max)       |
| 11      | 446.04375       | FM   | PMR 4         | PMR446 Ch 4, licence-free (0.5W max)       |
| 12      | 446.05625       | FM   | PMR 5         | PMR446 Ch 5, licence-free (0.5W max)       |
| 13      | 446.06875       | FM   | PMR 6         | PMR446 Ch 6, licence-free (0.5W max)       |
| 14      | 446.08125       | FM   | PMR 7         | PMR446 Ch 7, licence-free (0.5W max)       |
| 15      | 446.09375       | FM   | PMR 8         | PMR446 Ch 8, licence-free (0.5W max)       |
| 16      | 145.500         | FM   | 2M Calling    | 2m calling frequency (amateur licence)     |
| 17      | 145.425         | FM   | 2M Simplex    | 2m simplex (amateur licence)               |
| 18      | 145.625         | FM   | 2M Rptr VU2A  | 2m repeater out, –0.6 MHz (amateur licence)|
| 19      | 145.675         | FM   | 2M Rptr VU2B  | 2m repeater out, –0.6 MHz (amateur licence)|
| 20      | 434.500         | FM   | 70CM Calling  | 70cm calling frequency (amateur licence)   |
| 21      | 434.400         | FM   | 70CM Simplex  | 70cm simplex (amateur licence)             |
| 22      | 434.600         | FM   | 70CM Rptr VU2C| 70cm repeater out, –1.6 MHz (amateur licence) |
| 23      | 434.650         | FM   | 70CM Rptr VU2D| 70cm repeater out, –1.6 MHz (amateur licence) |
| 24      | 156.050         | FM   | MARINE 1      | Marine ship-to-ship (RX only unless licensed) |
| 25      | 156.800         | FM   | MARINE 16     | Marine distress & calling (RX only)        |
| 26      | 156.850         | FM   | MARINE 17     | Marine inter-ship (RX only)                |
| 27      | 157.000         | FM   | MARINE 20     | Marine port ops (RX only)                  |
| 28      | 157.025         | FM   | MARINE 80     | Marine non-commercial (RX only)            |
| 29      | 121.500         | AM   | AIR EMG       | Aviation emergency (RX only)               |
| 30      | 123.450         | AM   | AIR Chat      | Air-to-air chat (RX only)                  |
| 31      | 118.100         | AM   | VABB TWR      | Mumbai Tower (RX only)                     |
| 32      | 87.5            | FM   | Radio Mirchi  | Radio Mirchi Mumbai (FM preset, RX only)   |
| 33      | 89.1            | FM   | AIR FM Gold   | AIR FM Gold Mumbai (FM preset, RX only)    |
| 34      | 90.8            | FM   | Radio City    | Radio City Mumbai (FM preset, RX only)     |
| 35      | 50.500          | FM   | 6M Calling    | 6m calling frequency (amateur licence)     |
| 36      | 51.500          | FM   | 6M Simplex    | 6m simplex (amateur licence)               |
| 37      | 1296.200        | FM   | 23CM Calling  | 23cm calling frequency (amateur licence)   |
| 38      | 1296.000        | FM   | 23CM Simplex  | 23cm simplex (amateur licence)             |
| 39      | 144.200         | SSB  | 2M SSB Call   | 2m SSB calling (amateur licence)           |
| 40      | 432.100         | SSB  | 70CM SSB Call | 70cm SSB calling (amateur licence)         |
| 41      | 144.800         | FM   | APRS IN       | APRS India (amateur licence)               |
| 42      | 145.700         | FM   | 2M Rptr VU2E  | 2m repeater out, –0.6 MHz (amateur licence)|
| 43      | 145.750         | FM   | 2M Rptr VU2F  | 2m repeater out, –0.6 MHz (amateur licence)|
| 44      | 434.675         | FM   | 70CM Rptr VU2G| 70cm repeater out, –1.6 MHz (amateur licence) |
| 45      | 434.700         | FM   | 70CM Rptr VU2H| 70cm repeater out, –1.6 MHz (amateur licence) |
| 46      | 156.300         | FM   | MARINE 6      | Marine safety (RX only)                    |
| 47      | 156.400         | FM   | MARINE 8      | Marine ship-to-ship (RX only)              |
| 48      | 156.450         | FM   | MARINE 9      | Marine ship-to-ship (RX only)              |
| 49      | 156.625         | FM   | MARINE 72     | Marine non-commercial (RX only)            |
| 50      | 156.675         | FM   | MARINE 73     | Marine port ops (RX only)                  |
| 51      | 156.925         | FM   | MARINE 78     | Marine non-commercial (RX only)            |
| 52      | 157.050         | FM   | MARINE 81     | Marine public correspondence (RX only)     |
| 53      | 157.100         | FM   | MARINE 82     | Marine public correspondence (RX only)     |
| 54      | 118.900         | AM   | VIDP TWR      | Delhi Tower (RX only)                      |
| 55      | 125.200         | AM   | VOMM APP      | Chennai Approach (RX only)                 |
| 56      | 91.9            | FM   | AIR FM Rainbow| AIR FM Rainbow Mumbai (FM preset, RX only) |
| 57      | 93.5            | FM   | Red FM        | Red FM Mumbai (FM preset, RX only)         |
| 58      | 94.3            | FM   | Fever FM      | Fever FM Delhi (FM preset, RX only)        |
| 59      | 27.085          | AM   | CB 9          | 27 MHz CB Ch 9, emergency (1W max)         |
| 60      | 27.105          | AM   | CB 11         | 27 MHz CB Ch 11, calling (1W max)          |
| 61      | 27.125          | AM   | CB 13         | 27 MHz CB Ch 13, licence-free (1W max)     |
| 62      | 50.200          | FM   | 6M SSB Call   | 6m SSB calling (amateur licence)           |
