| Channel | Frequency (MHz) | Mode | Name          | Notes                                      |
|---------|-----------------|------|---------------|--------------------------------------------|
| 0       | 462.5625        | FM   | FRS 1         | FRS/GMRS Ch 1, licence-free (2W max)       |
| 1       | 462.5875        | FM   | FRS 2         | FRS/GMRS Ch 2, licence-free (2W max)       |
| 2       | 462.6125        | FM   | FRS 3         | FRS/GMRS Ch 3, licence-free (2W max)       |
| 3       | 462.6375        | FM   | FRS 4         | FRS/GMRS Ch 4, licence-free (2W max)       |
| 4       | 462.6625        | FM   | FRS 5         | FRS/GMRS Ch 5, licence-free (2W max)       |
| 5       | 462.6875        | FM   | FRS 6         | FRS/GMRS Ch 6, licence-free (2W max)       |
| 6       | 462.7125        | FM   | FRS 7         | FRS/GMRS Ch 7, licence-free (2W max)       |
| 7       | 467.5625        | FM   | FRS 8         | FRS Ch 8, licence-free (0.5W max)          |
| 8       | 467.5875        | FM   | FRS 9         | FRS Ch 9, licence-free (0.5W max)          |
| 9       | 467.6125        | FM   | FRS 10        | FRS Ch 10, licence-free (0.5W max)         |
| 10      | 467.6375        | FM   | FRS 11        | FRS Ch 11, licence-free (0.5W max)         |
| 11      | 467.6625        | FM   | FRS 12        | FRS Ch 12, licence-free (0.5W max)         |
| 12      | 467.6875        | FM   | FRS 13        | FRS Ch 13, licence-free (0.5W max)         |
| 13      | 467.7125        | FM   | FRS 14        | FRS Ch 14, licence-free (0.5W max)         |
| 14      | 462.5500        | FM   | GMRS 15       | GMRS Ch 15, licence req (5W handheld)      |
| 15      | 462.5750        | FM   | GMRS 16       | GMRS Ch 16, licence req (5W handheld)      |
| 16      | 462.6000        | FM   | GMRS 17       | GMRS Ch 17, licence req (5W handheld)      |
| 17      | 462.6250        | FM   | GMRS 18       | GMRS Ch 18, licence req (5W handheld)      |
| 18      | 462.6500        | FM   | GMRS 19       | GMRS Ch 19, licence req (5W handheld)      |
| 19      | 462.6750        | FM   | GMRS 20       | GMRS Ch 20, licence req (5W handheld)      |
| 20      | 462.7000        | FM   | GMRS 21       | GMRS Ch 21, licence req (5W handheld)      |
| 21      | 462.7250        | FM   | GMRS 22       | GMRS Ch 22, licence req (5W handheld)      |
| 22      | 146.520         | FM   | 2M Calling    | 2m calling frequency (amateur licence)     |
| 23      | 146.550         | FM   | 2M Simplex    | 2m simplex (amateur licence)               |
| 24      | 145.230         | FM   | 2M Rptr XE1   | 2m repeater out, –0.6 MHz (amateur licence)|
| 25      | 145.290         | FM   | 2M Rptr XE2   | 2m repeater out, –0.6 MHz (amateur licence)|
| 26      | 446.000         | FM   | 70CM Calling  | 70cm calling frequency (amateur licence)   |
| 27      | 446.050         | FM   | 70CM Simplex  | 70cm simplex (amateur licence)             |
| 28      | 444.100         | FM   | 70CM Rptr XE1 | 70cm repeater out, +5 MHz (amateur licence)|
| 29      | 444.200         | FM   | 70CM Rptr XE2 | 70cm repeater out, +5 MHz (amateur licence)|
| 30      | 156.050         | FM   | MARINE 1      | Marine ship-to-ship (RX only unless licensed) |
| 31      | 156.800         | FM   | MARINE 16     | Marine distress & calling (RX only)        |
| 32      | 156.850         | FM   | MARINE 17     | Marine inter-ship (RX only)                |
| 33      | 157.000         | FM   | MARINE 20     | Marine port ops (RX only)                  |
| 34      | 157.100         | FM   | MARINE 22A    | Marine coastal liaison (RX only)           |
| 35      | 121.500         | AM   | AIR EMG       | Aviation emergency (RX only)               |
| 36      | 123.450         | AM   | AIR Chat      | Air-to-air chat (RX only)                  |
| 37      | 118.000         | AM   | MEX TWR       | Mexico City Tower example (RX only)        |
| 38      | 88.1            | FM   | XHDFM         | Radio Formula Mexico City (FM preset, RX only) |
| 39      | 90.5            | FM   | XHIMR         | Imagen Radio Mexico City (FM preset, RX only) |
| 40      | 92.1            | FM   | XHRM          | RMX Mexico City (FM preset, RX only)       |
| 41      | 50.500          | FM   | 6M Calling    | 6m calling frequency (amateur licence)     |
| 42      | 51.500          | FM   | 6M Simplex    | 6m simplex (amateur licence)               |
| 43      | 1296.200        | FM   | 23CM Calling  | 23cm calling frequency (amateur licence)   |
| 44      | 1296.000        | FM   | 23CM Simplex  | 23cm simplex (amateur licence)             |
| 45      | 144.200         | SSB  | 2M SSB Call   | 2m SSB calling (amateur licence)           |
| 46      | 432.100         | SSB  | 70CM SSB Call | 70cm SSB calling (amateur licence)         |
| 47      | 144.390         | FM   | APRS NA       | APRS North America (amateur licence)       |
| 48      | 145.350         | FM   | 2M Rptr XE3   | 2m repeater out, –0.6 MHz (amateur licence)|
| 49      | 145.410         | FM   | 2M Rptr XE4   | 2m repeater out, –0.6 MHz (amateur licence)|
| 50      | 444.300         | FM   | 70CM Rptr XE3 | 70cm repeater out, +5 MHz (amateur licence)|
| 51      | 444.400         | FM   | 70CM Rptr XE4 | 70cm repeater out, +5 MHz (amateur licence)|
| 52      | 156.300         | FM   | MARINE 6      | Marine safety (RX only)                    |
| 53      | 156.400         | FM   | MARINE 8      | Marine ship-to-ship (RX only)              |
| 54      | 156.450         | FM   | MARINE 9      | Marine ship-to-ship (RX only)              |
| 55      | 156.625         | FM   | MARINE 72     | Marine non-commercial (RX only)            |
| 56      | 156.675         | FM   | MARINE 73     | Marine port ops (RX only)                  |
| 57      | 156.925         | FM   | MARINE 78A    | Marine non-commercial (RX only)            |
| 58      | 157.050         | FM   | MARINE 81A    | Marine coastal (RX only)                   |
| 59      | 157.150         | FM   | MARINE 83A    | Marine coastal (RX only)                   |
| 60      | 118.100         | AM   | GDL TWR       | Guadalajara Tower example (RX only)        |
| 61      | 124.900         | AM   | MTY APP       | Monterrey Approach example (RX only)       |
| 62      | 94.9            | FM   | XHFAJ         | Alfa Radio Mexico City (FM preset, RX only)|
| 63      | 96.9            | FM   | XHEXA         | Exa FM Mexico City (FM preset, RX only)    |
| 64      | 98.5            | FM   | XHMVS         | MVS Radio Mexico City (FM preset, RX only) |
| 65      | 50.200          | FM   | 6M SSB Call   | 6m SSB calling (amateur licence)           |
| 66      | 52.525          | FM   | 6M FM Call    | 6m FM calling (amateur licence)            |
| 67      | 145.790         | FM   | ISS Downlink  | ISS amateur downlink (amateur licence)     |
| 68      | 144.600         | FM   | 2M Data       | 2m data freq example (amateur licence)     |
| 69      | 432.600         | FM   | 70CM Data     | 70cm data freq example (amateur licence)   |
| 70      | 1296.500        | FM   | 23CM Data     | 23cm data freq example (amateur licence)   |
| 71      | 50.800          | FM   | 6M Beacon     | 6m beacon freq example (amateur licence)   |
| 72      | 144.250         | FM   | 2M Beacon     | 2m beacon freq example (amateur licence)   |
| 73      | 432.500         | FM   | 70CM Beacon   | 70cm beacon example (amateur licence)      |
| 74      | 1297.000        | FM   | 23CM Beacon   | 23cm beacon example (amateur licence)      |
| 75      | 156.525         | FM   | MARINE 70     | DSC distress (RX only)                     |
| 76      | 156.575         | FM   | MARINE 71     | Marine non-commercial (RX only)            |
| 77      | 156.725         | FM   | MARINE 74     | Marine port ops (RX only)                  |
| 78      | 157.025         | FM   | MARINE 80A    | Marine non-commercial (RX only)            |
| 79      | 157.075         | FM   | MARINE 21A    | Marine coastal (RX only)                   |
| 80      | 123.100         | AM   | SAR AIR       | Search & Rescue air freq (RX only)         |
| 81      | 122.800         | AM   | UNICOM        | Unicom general aviation (RX only)          |
| 82      | 119.250         | AM   | CUN TWR       | Cancun Tower example (RX only)             |
| 83      | 125.100         | AM   | TIJ APP       | Tijuana Approach example (RX only)         |
| 84      | 100.9           | FM   | XHPRS         | Los 40 Mexico City (FM preset, RX only)    |
| 85      | 101.7           | FM   | XHRMX         | Universal Mexico City (FM preset, RX only) |
| 86      | 104.1           | FM   | XHMX          | Mix FM Mexico City (FM preset, RX only)    |
| 87      | 145.170         | FM   | 2M Rptr XE5   | 2m repeater out, –0.6 MHz (amateur licence)|
| 88      | 145.430         | FM   | 2M Rptr XE6   | 2m repeater out, –0.6 MHz (amateur licence)|
| 89      | 444.500         | FM   | 70CM Rptr XE5 | 70cm repeater out, +5 MHz (amateur licence)|
| 90      | 444.600         | FM   | 70CM Rptr XE6 | 70cm repeater out, +5 MHz (amateur licence)|
| 91      | 156.375         | FM   | MARINE 67     | Marine small craft safety (RX only)        |
| 92      | 156.650         | FM   | MARINE 13     | Bridge-to-bridge (RX only)                 |
| 93      | 156.600         | FM   | MARINE 12     | Marine port ops (RX only)                  |
| 94      | 156.700         | FM   | MARINE 14     | Marine port ops (RX only)                  |
| 95      | 156.875         | FM   | MARINE 77     | Marine inter-ship (RX only)                |
| 96      | 157.200         | FM   | MARINE 24     | Marine public correspondence (RX only)     |
| 97      | 157.250         | FM   | MARINE 25     | Marine public correspondence (RX only)     |
| 98      | 157.300         | FM   | MARINE 26     | Marine public correspondence (RX only)     |
| 99      | 157.350         | FM   | MARINE 27     | Marine public correspondence (RX only)     |
| 100     | 157.400         | FM   | MARINE 28     | Marine public correspondence (RX only)     |
| 101     | 118.900         | AM   | PVR TWR       | Puerto Vallarta Tower example (RX only)    |
| 102     | 124.300         | AM   | QRO APP       | Queretaro Approach example (RX only)       |
| 103     | 89.9            | FM   | XHEPO         | La Z Mexico City (FM preset, RX only)      |
| 104     | 93.7            | FM   | XHRED         | Red FM Mexico City (FM preset, RX only)    |
| 105     | 97.7            | FM   | XERC          | Radio Centro Mexico City (FM preset, RX only) |
| 106     | 50.000          | FM   | 6M Low Edge   | 6m band edge (amateur licence)             |
