| Channel | Frequency (MHz) | Mode | Name          | Notes                                      |
|---------|-----------------|------|---------------|--------------------------------------------|
| 0       | 476.425         | FM   | PRS 1         | PRS Ch 1, licence-free (5W max)            |
| 1       | 476.450         | FM   | PRS 2         | PRS Ch 2, licence-free (5W max)            |
| 2       | 476.475         | FM   | PRS 3         | PRS Ch 3, licence-free (5W max)            |
| 3       | 476.500         | FM   | PRS 4         | PRS Ch 4, licence-free (5W max)            |
| 4       | 476.525         | FM   | PRS 5         | PRS Ch 5, emergency (5W max)               |
| 5       | 476.550         | FM   | PRS 6         | PRS Ch 6, licence-free (5W max)            |
| 6       | 476.575         | FM   | PRS 7         | PRS Ch 7, licence-free (5W max)            |
| 7       | 476.600         | FM   | PRS 8         | PRS Ch 8, calling (5W max)                 |
| 8       | 145.500         | FM   | 2M Calling    | 2m calling frequency (amateur licence)     |
| 9       | 145.425         | FM   | 2M Simplex    | 2m simplex (amateur licence)               |
| 10      | 146.625         | FM   | 2M Rptr ZL1A  | 2m repeater out, –0.6 MHz (amateur licence)|
| 11      | 146.675         | FM   | 2M Rptr ZL1B  | 2m repeater out, –0.6 MHz (amateur licence)|
| 12      | 433.500         | FM   | 70CM Calling  | 70cm calling frequency (amateur licence)   |
| 13      | 433.400         | FM   | 70CM Simplex  | 70cm simplex (amateur licence)             |
| 14      | 439.100         | FM   | 70CM Rptr ZL1C| 70cm repeater out, –5 MHz (amateur licence)|
| 15      | 439.200         | FM   | 70CM Rptr ZL1D| 70cm repeater out, –5 MHz (amateur licence)|
| 16      | 156.050         | FM   | MARINE 1      | Marine ship-to-ship (RX only unless licensed) |
| 17      | 156.800         | FM   | MARINE 16     | Marine distress & calling (RX only)        |
| 18      | 156.850         | FM   | MARINE 17     | Marine inter-ship (RX only)                |
| 19      | 157.000         | FM   | MARINE 20     | Marine port ops (RX only)                  |
| 20      | 157.025         | FM   | MARINE 80     | Marine non-commercial (RX only)            |
| 21      | 121.500         | AM   | AIR EMG       | Aviation emergency (RX only)               |
| 22      | 123.450         | AM   | AIR Chat      | Air-to-air chat (RX only)                  |
| 23      | 118.100         | AM   | NZAA TWR      | Auckland Tower (RX only)                   |
| 24      | 87.9            | FM   | The Edge      | The Edge Auckland (FM preset, RX only)     |
| 25      | 89.4            | FM   | More FM       | More FM Auckland (FM preset, RX only)      |
| 26      | 90.2            | FM   | RNZ National  | RNZ National Auckland (FM preset, RX only) |
| 27      | 50.500          | FM   | 6M Calling    | 6m calling frequency (amateur licence)     |
| 28      | 51.500          | FM   | 6M Simplex    | 6m simplex (amateur licence)               |
| 29      | 1296.200        | FM   | 23CM Calling  | 23cm calling frequency (amateur licence)   |
| 30      | 1296.000        | FM   | 23CM Simplex  | 23cm simplex (amateur licence)             |
| 31      | 144.200         | SSB  | 2M SSB Call   | 2m SSB calling (amateur licence)           |
| 32      | 432.100         | SSB  | 70CM SSB Call | 70cm SSB calling (amateur licence)         |
| 33      | 144.800         | FM   | APRS NZ       | APRS New Zealand (amateur licence)         |
| 34      | 146.750         | FM   | 2M Rptr ZL1E  | 2m repeater out, –0.6 MHz (amateur licence)|
| 35      | 146.875         | FM   | 2M Rptr ZL1F  | 2m repeater out, –0.6 MHz (amateur licence)|
| 36      | 439.300         | FM   | 70CM Rptr ZL1G| 70cm repeater out, –5 MHz (amateur licence)|
| 37      | 439.400         | FM   | 70CM Rptr ZL1H| 70cm repeater out, –5 MHz (amateur licence)|
| 38      | 156.300         | FM   | MARINE 6      | Marine safety (RX only)                    |
| 39      | 156.400         | FM   | MARINE 8      | Marine ship-to-ship (RX only)              |
| 40      | 156.450         | FM   | MARINE 9      | Marine ship-to-ship (RX only)              |
| 41      | 156.625         | FM   | MARINE 72     | Marine non-commercial (RX only)            |
| 42      | 156.675         | FM   | MARINE 73     | Marine port ops (RX only)                  |
| 43      | 156.925         | FM   | MARINE 78     | Marine non-commercial (RX only)            |
| 44      | 157.050         | FM   | MARINE 81     | Marine public correspondence (RX only)     |
| 45      | 157.100         | FM   | MARINE 82     | Marine public correspondence (RX only)     |
| 46      | 118.900         | AM   | NZCH TWR      | Christchurch Tower (RX only)               |
| 47      | 125.200         | AM   | NZWN APP      | Wellington Approach (RX only)              |
| 48      | 91.0            | FM   | ZM            | ZM Auckland (FM preset, RX only)           |
| 49      | 92.1            | FM   | The Rock      | The Rock Auckland (FM preset, RX only)     |
| 50      | 93.4            | FM   | The Sound     | The Sound Auckland (FM preset, RX only)    |
| 51      | 50.200          | FM   | 6M SSB Call   | 6m SSB calling (amateur licence)           |
| 52      | 51.000          | FM   | 6M Alt Call   | 6m alternate calling (amateur licence)     |
| 53      | 145.200         | FM   | 2M Alt Call   | 2m alternate calling (amateur licence)     |
| 54      | 433.425         | FM   | 70CM Alt Call | 70cm alternate calling (amateur licence)   |
| 55      | 156.525         | FM   | MARINE 70     | DSC distress (RX only)                     |
| 56      | 156.575         | FM   | MARINE 71     | Marine non-commercial (RX only)            |
| 57      | 156.725         | FM   | MARINE 74     | Marine port ops (RX only)                  |
| 58      | 157.150         | FM   | MARINE 83     | Marine public correspondence (RX only)     |
| 59      | 123.100         | AM   | SAR AIR       | Search & Rescue air freq (RX only)         |
| 60      | 126.200         | AM   | NZQN APP      | Queenstown Approach (RX only)              |
| 61      | 94.2            | FM   | Flava         | Flava Auckland (FM preset, RX only)        |
| 62      | 95.8            | FM   | Mai FM        | Mai FM Auckland (FM preset, RX only)       |
| 63      | 96.6            | FM   | Newstalk ZB   | Newstalk ZB Auckland (FM preset, RX only)  |
| 64      | 50.800          | FM   | 6M Beacon     | 6m beacon (amateur licence)                |
| 65      | 144.250         | FM   | 2M Beacon     | 2m beacon (amateur licence)                |
| 66      | 432.500         | FM   | 70CM Beacon   | 70cm beacon (amateur licence)              |
| 67      | 1297.000        | FM   | 23CM Beacon   | 23cm beacon (amateur licence)              |
| 68      | 156.375         | FM   | MARINE 67     | Marine small craft safety (RX only)        |
| 69      | 156.650         | FM   | MARINE 13     | Bridge-to-bridge (RX only)                 |
| 70      | 156.600         | FM   | MARINE 12     | Marine port ops (RX only)                  |
| 71      | 156.700         | FM   | MARINE 14     | Marine port ops (RX only)                  |
| 72      | 156.875         | FM   | MARINE 77     | Marine inter-ship (RX only)                |
| 73      | 119.500         | AM   | NZDN TWR      | Dunedin Tower (RX only)                    |
| 74      | 125.100         | AM   | NZPM APP      | Palmerston North Approach (RX only)        |
| 75      | 97.4            | FM   | The Hits      | The Hits Auckland (FM preset, RX only)     |
| 76      | 98.2            | FM   | Hauraki       | Radio Hauraki Auckland (FM preset, RX only)|
| 77      | 99.0            | FM   | Coast         | Coast Auckland (FM preset, RX only)        |
| 78      | 146.925         | FM   | 2M Rptr ZL1I  | 2m repeater out, –0.6 MHz (amateur licence)|
| 79      | 147.000         | FM   | 2M Rptr ZL1J  | 2m repeater out, –0.6 MHz (amateur licence)|
| 80      | 439.500         | FM   | 70CM Rptr ZL1K| 70cm repeater out, –5 MHz (amateur licence)|
| 81      | 439.600         | FM   | 70CM Rptr ZL1L| 70cm repeater out, –5 MHz (amateur licence)|
