| Channel | Frequency (MHz) | Mode | Name          | Notes                                      |
|---------|-----------------|------|---------------|--------------------------------------------|
| 0       | 433.075         | FM   | LPD 1         | LPD Ch 1, licence-free (10mW max)          |
| 1       | 433.100         | FM   | LPD 2         | LPD Ch 2, licence-free (10mW max)          |
| 2       | 433.125         | FM   | LPD 3         | LPD Ch 3, licence-free (10mW max)          |
| 3       | 433.150         | FM   | LPD 4         | LPD Ch 4, licence-free (10mW max)          |
| 4       | 433.175         | FM   | LPD 5         | LPD Ch 5, licence-free (10mW max)          |
| 5       | 433.200         | FM   | LPD 6         | LPD Ch 6, licence-free (10mW max)          |
| 6       | 433.225         | FM   | LPD 7         | LPD Ch 7, licence-free (10mW max)          |
| 7       | 433.250         | FM   | LPD 8         | LPD Ch 8, licence-free (10mW max)          |
| 8       | 433.275         | FM   | LPD 9         | LPD Ch 9, licence-free (10mW max)          |
| 9       | 433.300         | FM   | LPD 10        | LPD Ch 10, licence-free (10mW max)         |
| 10      | 433.325         | FM   | LPD 11        | LPD Ch 11, licence-free (10mW max)         |
| 11      | 433.350         | FM   | LPD 12        | LPD Ch 12, licence-free (10mW max)         |
| 12      | 433.375         | FM   | LPD 13        | LPD Ch 13, licence-free (10mW max)         |
| 13      | 433.400         | FM   | LPD 14        | LPD Ch 14, licence-free (10mW max)         |
| 14      | 433.425         | FM   | LPD 15        | LPD Ch 15, licence-free (10mW max)         |
| 15      | 433.450         | FM   | LPD 16        | LPD Ch 16, licence-free (10mW max)         |
| 16      | 446.00625       | FM   | PMR 1         | PMR446 Ch 1, licence-free (0.5W max)       |
| 17      | 446.01875       | FM   | PMR 2         | PMR446 Ch 2, licence-free (0.5W max)       |
| 18      | 446.03125       | FM   | PMR 3         | PMR446 Ch 3, licence-free (0.5W max)       |
| 19      | 446.04375       | FM   | PMR 4         | PMR446 Ch 4, licence-free (0.5W max)       |
| 20      | 446.05625       | FM   | PMR 5         | PMR446 Ch 5, licence-free (0.5W max)       |
| 21      | 446.06875       | FM   | PMR 6         | PMR446 Ch 6, licence-free (0.5W max)       |
| 22      | 446.08125       | FM   | PMR 7         | PMR446 Ch 7, licence-free (0.5W max)       |
| 23      | 446.09375       | FM   | PMR 8         | PMR446 Ch 8, licence-free (0.5W max)       |
| 24      | 145.500         | FM   | 2M Calling    | 2m calling frequency (amateur licence)     |
| 25      | 145.425         | FM   | 2M Simplex    | 2m simplex (amateur licence)               |
| 26      | 145.625         | FM   | 2M Rptr 1     | 2m repeater out, –0.6 MHz (amateur licence)|
| 27      | 145.675         | FM   | 2M Rptr 2     | 2m repeater out, –0.6 MHz (amateur licence)|
| 28      | 433.500         | FM   | 70CM Calling  | 70cm calling frequency (amateur licence)   |
| 29      | 433.400         | FM   | 70CM Simplex  | 70cm simplex (amateur licence)             |
| 30      | 434.600         | FM   | 70CM Rptr 1   | 70cm repeater out, –1.6 MHz (amateur licence) |
| 31      | 434.650         | FM   | 70CM Rptr 2   | 70cm repeater out, –1.6 MHz (amateur licence) |
| 32      | 156.050         | FM   | MARINE 1      | Marine ship-to-ship (RX only unless licensed) |
| 33      | 156.800         | FM   | MARINE 16     | Marine distress & calling (RX only)        |
| 34      | 156.850         | FM   | MARINE 17     | Marine inter-ship (RX only)                |
| 35      | 157.000         | FM   | MARINE 20     | Marine port ops (RX only)                  |
| 36      | 157.025         | FM   | MARINE 80     | Marine non-commercial (RX only)            |
| 37      | 121.500         | AM   | AIR EMG       | Aviation emergency (RX only)               |
| 38      | 123.450         | AM   | AIR Chat      | Air-to-air chat (RX only)                  |
| 39      | 119.000         | AM   | SVO TWR       | Sheremetyevo Tower example (RX only)       |
| 40      | 87.5            | FM   | Radio Rossii  | Radio Rossii Moscow (FM preset, RX only)   |
| 41      | 91.2            | FM   | Avtoradio     | Avtoradio Moscow (FM preset, RX only)      |
| 42      | 92.0            | FM   | Europa Plus   | Europa Plus Moscow (FM preset, RX only)    |
| 43      | 50.500          | FM   | 6M Calling    | 6m calling frequency (amateur licence)     |
| 44      | 51.500          | FM   | 6M Simplex    | 6m simplex (amateur licence)               |
| 45      | 1296.200        | FM   | 23CM Calling  | 23cm calling frequency (amateur licence)   |
| 46      | 1296.000        | FM   | 23CM Simplex  | 23cm simplex (amateur licence)             |
| 47      | 144.200         | SSB  | 2M SSB Call   | 2m SSB calling (amateur licence)           |
| 48      | 432.100         | SSB  | 70CM SSB Call | 70cm SSB calling (amateur licence)         |
| 49      | 144.800         | FM   | APRS EU       | APRS Europe (amateur licence)              |
| 50      | 145.650         | FM   | 2M Rptr 3     | 2m repeater out, –0.6 MHz (amateur licence)|
| 51      | 145.700         | FM   | 2M Rptr 4     | 2m repeater out, –0.6 MHz (amateur licence)|
| 52      | 434.675         | FM   | 70CM Rptr 3   | 70cm repeater out, –1.6 MHz (amateur licence) |
| 53      | 434.700         | FM   | 70CM Rptr 4   | 70cm repeater out, –1.6 MHz (amateur licence) |
| 54      | 156.300         | FM   | MARINE 6      | Marine safety (RX only)                    |
| 55      | 156.400         | FM   | MARINE 8      | Marine ship-to-ship (RX only)              |
| 56      | 156.450         | FM   | MARINE 9      | Marine ship-to-ship (RX only)              |
| 57      | 156.625         | FM   | MARINE 72     | Marine non-commercial (RX only)            |
| 58      | 156.675         | FM   | MARINE 73     | Marine port ops (RX only)                  |
| 59      | 156.925         | FM   | MARINE 78     | Marine non-commercial (RX only)            |
| 60      | 157.050         | FM   | MARINE 81     | Marine public correspondence (RX only)     |
| 61      | 157.100         | FM   | MARINE 82     | Marine public correspondence (RX only)     |
| 62      | 118.300         | AM   | DME TWR       | Domodedovo Tower example (RX only)         |
| 63      | 124.000         | AM   | VKO APP       | Vnukovo Approach example (RX only)         |
| 64      | 93.2            | FM   | Russkoe Radio | Russkoe Radio Moscow (FM preset, RX only)  |
| 65      | 95.2            | FM   | Hit FM        | Hit FM Moscow (FM preset, RX only)         |
| 66      | 97.2            | FM   | DFM           | DFM Moscow (FM preset, RX only)            |
| 67      | 433.475         | FM   | LPD 17        | LPD Ch 17, licence-free (10mW max)         |
| 68      | 433.500         | FM   | LPD 18        | LPD Ch 18, licence-free (10mW max)         |
| 69      | 433.525         | FM   | LPD 19        | LPD Ch 19, licence-free (10mW max)         |
| 70      | 433.550         | FM   | LPD 20        | LPD Ch 20, licence-free (10mW max)         |
| 71      | 50.200          | FM   | 6M SSB Call   | 6m SSB calling (amateur licence)           |
| 72      | 51.000          | FM   | 6M Alt Call   | 6m alternate calling (amateur licence)     |
| 73      | 145.200         | FM   | 2M Alt Call   | 2m alternate calling (amateur licence)     |
| 74      | 433.425         | FM   | 70CM Alt Call | 70cm alternate calling (amateur licence)   |
| 75      | 156.525         | FM   | MARINE 70     | DSC distress (RX only)                     |
| 76      | 156.575         | FM   | MARINE 71     | Marine non-commercial (RX only)            |
| 77      | 156.725         | FM   | MARINE 74     | Marine port ops (RX only)                  |
| 78      | 157.150         | FM   | MARINE 83     | Marine public correspondence (RX only)     |
| 79      | 123.100         | AM   | SAR AIR       | Search & Rescue air freq (RX only)         |
| 80      | 131.600         | AM   | SVO APP       | Sheremetyevo Approach example (RX only)    |
| 81      | 98.0            | FM   | NRJ Moscow    | NRJ Moscow (FM preset, RX only)            |
| 82      | 99.6            | FM   | Retro FM      | Retro FM Moscow (FM preset, RX only)       |
| 83      | 101.2           | FM   | Dorozhnoe     | Dorozhnoe Radio Moscow (FM preset, RX only)|
| 84      | 50.800          | FM   | 6M Beacon     | 6m beacon freq example (amateur licence)   |
| 85      | 144.250         | FM   | 2M Beacon     | 2m beacon freq example (amateur licence)   |
| 86      | 432.500         | FM   | 70CM Beacon   | 70cm beacon example (amateur licence)      |
| 87      | 1297.000        | FM   | 23CM Beacon   | 23cm beacon example (amateur licence)      |
| 88      | 433.575         | FM   | LPD 21        | LPD Ch 21, licence-free (10mW max)         |
| 89      | 433.600         | FM   | LPD 22        | LPD Ch 22, licence-free (10mW max)         |
| 90      | 156.375         | FM   | MARINE 67     | Marine small craft safety (RX only)        |
| 91      | 156.650         | FM   | MARINE 13     | Bridge-to-bridge (RX only)                 |
| 92      | 156.600         | FM   | MARINE 12     | Marine port ops (RX only)                  |
| 93      | 120.000         | AM   | DME APP       | Domodedovo Approach example (RX only)      |
| 94      | 129.150         | AM   | VKO TWR       | Vnukovo Tower example (RX only)            |
| 95      | 102.2           | FM   | Relax FM      | Relax FM Moscow (FM preset, RX only)       |
| 96      | 103.7           | FM   | Max FM        | Maximum FM Moscow (FM preset, RX only)     |
| 97      | 145.725         | FM   | 2M Rptr 5     | 2m repeater out, –0.6 MHz (amateur licence)|
| 98      | 145.775         | FM   | 2M Rptr 6     | 2m repeater out, –0.6 MHz (amateur licence)|
| 99      | 434.725         | FM   | 70CM Rptr 5   | 70cm repeater out, –1.6 MHz (amateur licence) |
| 100     | 434.750         | FM   | 70CM Rptr 6   | 70cm repeater out, –1.6 MHz (amateur licence) |
| 101     | 156.475         | FM   | MARINE 69     | Marine non-commercial (RX only)            |
| 102     | 156.700         | FM   | MARINE 14     | Marine port ops (RX only)                  |
| 103     | 156.875         | FM   | MARINE 77     | Marine inter-ship (RX only)                |
| 104     | 157.200         | FM   | MARINE 84     | Marine public correspondence (RX only)     |
| 105     | 157.250         | FM   | MARINE 85     | Marine public correspondence (RX only)     |
| 106     | 157.300         | FM   | MARINE 86     | Marine public correspondence (RX only)     |
| 107     | 157.350         | FM   | MARINE 87     | Marine public correspondence (RX only)     |
| 108     | 157.400         | FM   | MARINE 88     | Marine public correspondence (RX only)     |
| 109     | 118.100         | AM   | LED TWR       | Pulkovo Tower example (RX only)            |
| 110     | 127.400         | AM   | KJA APP       | Krasnoyarsk Approach example (RX only)     |
| 111     | 88.0            | FM   | Humor FM      | Humor FM Moscow (FM preset, RX only)       |
| 112     | 90.8            | FM   | Radio 7       | Radio 7 Moscow (FM preset, RX only)        |
| 113     | 105.7           | FM   | Nashe Radio   | Nashe Radio Moscow (FM preset, RX only)    |
| 114     | 433.625         | FM   | LPD 23        | LPD Ch 23, licence-free (10mW max)         |
| 115     | 433.650         | FM   | LPD 24        | LPD Ch 24, licence-free (10mW max)         |
| 116     | 433.675         | FM   | LPD 25        | LPD Ch 25, licence-free (10mW max)         |
| 117     | 433.700         | FM   | LPD 26        | LPD Ch 26, licence-free (10mW max)         |
| 118     | 50.000          | FM   | 6M Low Edge   | 6m band edge (amateur licence)             |
| 119     | 52.000          | FM   | 6M High Edge  | 6m band edge (amateur licence)             |
| 120     | 144.000         | FM   | 2M Low Edge   | 2m band edge (amateur licence)             |
| 121     | 146.000         | FM   | 2M High Edge  | 2m band edge (amateur licence)             |
| 122     | 430.000         | FM   | 70CM Low Edge | 70cm band edge (amateur licence)           |
| 123     | 440.000         | FM   | 70CM High Edge| 70cm band edge (amateur licence)           |
| 124     | 1240.000        | FM   | 23CM Low Edge | 23cm band edge (amateur licence)           |
| 125     | 1300.000        | FM   | 23CM High Edge| 23cm band edge (amateur licence)           |
| 126     | 60.000          | FM   | VHF EXP 60    | VHF experimental (TX risky/illegal)        |
| 127     | 70.000          | FM   | VHF EXP 70    | VHF experimental (TX risky/illegal)        |
| 128     | 80.000          | FM   | VHF EXP 80    | VHF experimental (TX risky/illegal)        |
| 129     | 90.000          | FM   | VHF EXP 90    | VHF experimental (TX risky/illegal)        |
| 130     | 100.000         | FM   | VHF EXP 100   | VHF experimental (TX risky/illegal)        |
| 131     | 110.000         | FM   | VHF EXP 110   | VHF experimental (TX risky/illegal)        |
| 132     | 120.000         | FM   | VHF EXP 120   | VHF experimental (TX risky/illegal)        |
| 133     | 130.000         | FM   | VHF EXP 130   | VHF experimental (TX risky/illegal)        |
| 134     | 150.000         | FM   | VHF EXP 150   | VHF experimental (TX risky/illegal)        |
| 135     | 160.000         | FM   | VHF EXP 160   | VHF experimental (TX risky/illegal)        |
| 136     | 170.000         | FM   | VHF EXP 170   | VHF experimental (TX risky/illegal)        |
| 137     | 180.000         | FM   | VHF EXP 180   | VHF experimental (TX risky/illegal)        |
| 138     | 190.000         | FM   | VHF EXP 190   | VHF experimental (TX risky/illegal)        |
| 139     | 200.000         | FM   | VHF EXP 200   | VHF experimental (TX risky/illegal)        |
| 140     | 225.000         | FM   | MID EXP 225   | Mid-range experimental (RX only, TX illegal) |
| 141     | 250.000         | FM   | MID EXP 250   | Mid-range experimental (RX only, TX illegal) |
