| Channel | Frequency (MHz) | Mode | Name          | Notes                                      |
|---------|-----------------|------|---------------|--------------------------------------------|
| 0       | 29.710          | FM   | 29MHz CB 1    | 29 MHz CB Ch 1, licence-free (4W max)      |
| 1       | 29.720          | FM   | 29MHz CB 2    | 29 MHz CB Ch 2, licence-free (4W max)      |
| 2       | 29.730          | FM   | 29MHz CB 3    | 29 MHz CB Ch 3, licence-free (4W max)      |
| 3       | 29.740          | FM   | 29MHz CB 4    | 29 MHz CB Ch 4, licence-free (4W max)      |
| 4       | 29.750          | FM   | 29MHz CB 5    | 29 MHz CB Ch 5, emergency (4W max)         |
| 5       | 29.760          | FM   | 29MHz CB 6    | 29 MHz CB Ch 6, licence-free (4W max)      |
| 6       | 29.770          | FM   | 29MHz CB 7    | 29 MHz CB Ch 7, licence-free (4W max)      |
| 7       | 29.780          | FM   | 29MHz CB 8    | 29 MHz CB Ch 8, calling (4W max)           |
| 8       | 446.00625       | FM   | PMR 1         | PMR446 Ch 1, licence-free (0.5W max)       |
| 9       | 446.01875       | FM   | PMR 2         | PMR446 Ch 2, licence-free (0.5W max)       |
| 10      | 446.03125       | FM   | PMR 3         | PMR446 Ch 3, licence-free (0.5W max)       |
| 11      | 446.04375       | FM   | PMR 4         | PMR446 Ch 4, licence-free (0.5W max)       |
| 12      | 446.05625       | FM   | PMR 5         | PMR446 Ch 5, licence-free (0.5W max)       |
| 13      | 446.06875       | FM   | PMR 6         | PMR446 Ch 6, licence-free (0.5W max)       |
| 14      | 446.08125       | FM   | PMR 7         | PMR446 Ch 7, licence-free (0.5W max)       |
| 15      | 446.09375       | FM   | PMR 8         | PMR446 Ch 8, licence-free (0.5W max)       |
| 16      | 145.500         | FM   | 2M Calling    | 2m calling frequency (amateur licence)     |
| 17      | 145.425         | FM   | 2M Simplex    | 2m simplex (amateur licence)               |
| 18      | 145.625         | FM   | 2M Rptr ZS1A  | 2m repeater out, –0.6 MHz (amateur licence)|
| 19      | 145.675         | FM   | 2M Rptr ZS1B  | 2m repeater out, –0.6 MHz (amateur licence)|
| 20      | 433.500         | FM   | 70CM Calling  | 70cm calling frequency (amateur licence)   |
| 21      | 433.400         | FM   | 70CM Simplex  | 70cm simplex (amateur licence)             |
| 22      | 434.600         | FM   | 70CM Rptr ZS1C| 70cm repeater out, –1.6 MHz (amateur licence) |
| 23      | 434.650         | FM   | 70CM Rptr ZS1D| 70cm repeater out, –1.6 MHz (amateur licence) |
| 24      | 156.050         | FM   | MARINE 1      | Marine ship-to-ship (RX only unless licensed) |
| 25      | 156.800         | FM   | MARINE 16     | Marine distress & calling (RX only)        |
| 26      | 156.850         | FM   | MARINE 17     | Marine inter-ship (RX only)                |
| 27      | 157.000         | FM   | MARINE 20     | Marine port ops (RX only)                  |
| 28      | 157.025         | FM   | MARINE 80     | Marine non-commercial (RX only)            |
| 29      | 121.500         | AM   | AIR EMG       | Aviation emergency (RX only)               |
| 30      | 123.450         | AM   | AIR Chat      | Air-to-air chat (RX only)                  |
| 31      | 118.100         | AM   | FAOR TWR      | Johannesburg OR Tambo Tower (RX only)      |
| 32      | 87.6            | FM   | Metro FM      | Metro FM Johannesburg (FM preset, RX only) |
| 33      | 89.2            | FM   | 5FM           | 5FM Johannesburg (FM preset, RX only)      |
| 34      | 90.4            | FM   | Jacaranda FM  | Jacaranda FM Pretoria (FM preset, RX only) |
| 35      | 50.500          | FM   | 6M Calling    | 6m calling frequency (amateur licence)     |
| 36      | 51.500          | FM   | 6M Simplex    | 6m simplex (amateur licence)               |
| 37      | 1296.200        | FM   | 23CM Calling  | 23cm calling frequency (amateur licence)   |
| 38      | 1296.000        | FM   | 23CM Simplex  | 23cm simplex (amateur licence)             |
| 39      | 144.200         | SSB  | 2M SSB Call   | 2m SSB calling (amateur licence)           |
| 40      | 432.100         | SSB  | 70CM SSB Call | 70cm SSB calling (amateur licence)         |
| 41      | 144.800         | FM   | APRS ZA       | APRS South Africa (amateur licence)        |
| 42      | 145.700         | FM   | 2M Rptr ZS1E  | 2m repeater out, –0.6 MHz (amateur licence)|
| 43      | 145.750         | FM   | 2M Rptr ZS1F  | 2m repeater out, –0.6 MHz (amateur licence)|
| 44      | 434.675         | FM   | 70CM Rptr ZS1G| 70cm repeater out, –1.6 MHz (amateur licence) |
| 45      | 434.700         | FM   | 70CM Rptr ZS1H| 70cm repeater out, –1.6 MHz (amateur licence) |
| 46      | 156.300         | FM   | MARINE 6      | Marine safety (RX only)                    |
| 47      | 156.400         | FM   | MARINE 8      | Marine ship-to-ship (RX only)              |
| 48      | 156.450         | FM   | MARINE 9      | Marine ship-to-ship (RX only)              |
| 49      | 156.625         | FM   | MARINE 72     | Marine non-commercial (RX only)            |
| 50      | 156.675         | FM   | MARINE 73     | Marine port ops (RX only)                  |
| 51      | 156.925         | FM   | MARINE 78     | Marine non-commercial (RX only)            |
| 52      | 157.050         | FM   | MARINE 81     | Marine public correspondence (RX only)     |
| 53      | 157.100         | FM   | MARINE 82     | Marine public correspondence (RX only)     |
| 54      | 118.900         | AM   | FACT TWR      | Cape Town Tower (RX only)                  |
| 55      | 125.200         | AM   | FADN APP      | Durban Approach (RX only)                  |
| 56      | 91.9            | FM   | YFM           | YFM Johannesburg (FM preset, RX only)      |
| 57      | 93.0            | FM   | Kaya FM       | Kaya FM Johannesburg (FM preset, RX only)  |
| 58      | 94.2            | FM   | 702           | 702 Johannesburg (FM preset, RX only)      |
| 59      | 29.790          | FM   | 29MHz CB 9    | 29 MHz CB Ch 9, emergency (4W max)         |
| 60      | 29.800          | FM   | 29MHz CB 10   | 29 MHz CB Ch 10, calling (4W max)          |
| 61      | 29.810          | FM   | 29MHz CB 11   | 29 MHz CB Ch 11, licence-free (4W max)     |
| 62      | 50.200          | FM   | 6M SSB Call   | 6m SSB calling (amateur licence)           |
| 63      | 52.525          | FM   | 6M FM Call    | 6m FM calling (amateur licence)            |
| 64      | 145.790         | FM   | ISS Downlink  | ISS amateur downlink (amateur licence)     |
| 65      | 144.600         | FM   | 2M Data       | 2m data freq (amateur licence)             |
| 66      | 432.600         | FM   | 70CM Data     | 70cm data freq (amateur licence)           |
