| Channel | Frequency (MHz) | Mode | Name          | Notes                                      |
|---------|-----------------|------|---------------|--------------------------------------------|
| 0       | 446.00625       | FM   | PMR 1         | PMR446 licence-free (0.5W max)             |
| 1       | 446.01875       | FM   | PMR 2         | PMR446 licence-free                        |
| 2       | 446.03125       | FM   | PMR 3         | PMR446 licence-free                        |
| 3       | 446.04375       | FM   | PMR 4         | PMR446 licence-free                        |
| 4       | 446.05625       | FM   | PMR 5         | PMR446 licence-free                        |
| 5       | 446.06875       | FM   | PMR 6         | PMR446 licence-free                        |
| 6       | 446.08125       | FM   | PMR 7         | PMR446 licence-free                        |
| 7       | 446.09375       | FM   | PMR 8         | PMR446 licence-free                        |
| 8       | 446.10625       | FM   | PMR 9         | PMR446 digital starts here                 |
| 9       | 446.11875       | FM   | PMR 10        | PMR446 licence-free                        |
| 10      | 446.13125       | FM   | PMR 11        | PMR446 licence-free                        |
| 11      | 446.14375       | FM   | PMR 12        | PMR446 licence-free                        |
| 12      | 446.15625       | FM   | PMR 13        | PMR446 licence-free                        |
| 13      | 446.16875       | FM   | PMR 14        | PMR446 licence-free                        |
| 14      | 446.18125       | FM   | PMR 15        | PMR446 licence-free                        |
| 15      | 446.19375       | FM   | PMR 16        | PMR446 licence-free                        |
| 16      | 145.500         | FM   | VFO 2M        | 2m calling frequency (amateur licence)     |
| 17      | 145.425         | FM   | VFO Simplex   | 2m simplex (amateur licence)               |
| 18      | 145.625         | FM   | R0 Repeater   | 2m repeater out, –0.6 MHz, 94.8 Hz CTCSS   |
| 19      | 145.675         | FM   | R2 Repeater   | 2m repeater out, –0.6 MHz, 94.8 Hz CTCSS   |
| 20      | 433.500         | FM   | U70 Calling   | 70cm calling frequency (amateur licence)   |
| 21      | 433.400         | FM   | U70 Simplex   | 70cm simplex (amateur licence)             |
| 22      | 430.900         | FM   | RU72 Rptr     | 70cm repeater out, +7.6 MHz, 94.8 Hz CTCSS |
| 23      | 156.000         | FM   | MARINE 0      | Marine port ops (RX only unless licensed)  |
| 24      | 156.050         | FM   | MARINE 1      | Marine (RX only unless licensed)           |
| 25      | 156.800         | FM   | MARINE 16     | Marine distress & calling (RX only)        |
| 26      | 156.950         | FM   | MARINE 19     | Marine ship-to-shore (RX only)             |
| 27      | 157.025         | FM   | MARINE 80     | UK marinas (RX only unless licensed)       |
| 28      | 121.500         | AM   | AIR EMG       | Aviation emergency (RX only)               |
| 29      | 129.900         | AM   | LON APP       | London Approach example (RX only)          |
| 30      | 118.675         | AM   | MAN TWR       | Manchester Tower example (RX only)         |
| 31      | 88.1            | FM   | BBC R1        | BBC Radio 1 (FM preset, RX only)           |
| 32      | 90.1            | FM   | BBC R2        | BBC Radio 2 (FM preset, RX only)           |
| 33      | 97.7            | FM   | BBC R4        | BBC Radio 4 (FM preset, RX only)           |
| 34      | 102.2           | FM   | CAP LDN       | Capital FM London (FM preset, RX only)     |
| 35      | 164.0625        | FM   | UK WX         | Met Office weather (RX only)               |
