| Channel | Frequency (MHz) | Mode | Name          | Notes                                      |
|---------|-----------------|------|---------------|--------------------------------------------|
| 0       | 462.5625        | FM   | FRS 1         | FRS/GMRS Ch 1, licence-free (2W max)       |
| 1       | 462.5875        | FM   | FRS 2         | FRS/GMRS Ch 2, licence-free (2W max)       |
| 2       | 462.6125        | FM   | FRS 3         | FRS/GMRS Ch 3, licence-free (2W max)       |
| 3       | 462.6375        | FM   | FRS 4         | FRS/GMRS Ch 4, licence-free (2W max)       |
| 4       | 462.6625        | FM   | FRS 5         | FRS/GMRS Ch 5, licence-free (2W max)       |
| 5       | 462.6875        | FM   | FRS 6         | FRS/GMRS Ch 6, licence-free (2W max)       |
| 6       | 462.7125        | FM   | FRS 7         | FRS/GMRS Ch 7, licence-free (2W max)       |
| 7       | 467.5625        | FM   | FRS 8         | FRS Ch 8, licence-free (0.5W max)          |
| 8       | 467.5875        | FM   | FRS 9         | FRS Ch 9, licence-free (0.5W max)          |
| 9       | 467.6125        | FM   | FRS 10        | FRS Ch 10, licence-free (0.5W max)         |
| 10      | 467.6375        | FM   | FRS 11        | FRS Ch 11, licence-free (0.5W max)         |
| 11      | 467.6625        | FM   | FRS 12        | FRS Ch 12, licence-free (0.5W max)         |
| 12      | 467.6875        | FM   | FRS 13        | FRS Ch 13, licence-free (0.5W max)         |
| 13      | 467.7125        | FM   | FRS 14        | FRS Ch 14, licence-free (0.5W max)         |
| 14      | 462.5500        | FM   | GMRS 15       | GMRS Ch 15, licence req (5W handheld)      |
| 15      | 462.5750        | FM   | GMRS 16       | GMRS Ch 16, licence req (5W handheld)      |
| 16      | 462.6000        | FM   | GMRS 17       | GMRS Ch 17, licence req (5W handheld)      |
| 17      | 462.6250        | FM   | GMRS 18       | GMRS Ch 18, licence req (5W handheld)      |
| 18      | 462.6500        | FM   | GMRS 19       | GMRS Ch 19, licence req (5W handheld)      |
| 19      | 462.6750        | FM   | GMRS 20       | GMRS Ch 20, licence req (5W handheld)      |
| 20      | 462.7000        | FM   | GMRS 21       | GMRS Ch 21, licence req (5W handheld)      |
| 21      | 462.7250        | FM   | GMRS 22       | GMRS Ch 22, licence req (5W handheld)      |
| 22      | 151.820         | FM   | MURS 1        | MURS Ch 1, licence-free (2W max)           |
| 23      | 151.880         | FM   | MURS 2        | MURS Ch 2, licence-free (2W max)           |
| 24      | 151.940         | FM   | MURS 3        | MURS Ch 3, licence-free (2W max)           |
| 25      | 154.570         | FM   | MURS 4        | MURS Ch 4, licence-free (2W max)           |
| 26      | 154.600         | FM   | MURS 5        | MURS Ch 5, licence-free (2W max)           |
| 27      | 162.400         | FM   | NOAA 1        | NOAA Weather Channel 1 (RX only)           |
| 28      | 162.425         | FM   | NOAA 2        | NOAA Weather Channel 2 (RX only)           |
| 29      | 162.450         | FM   | NOAA 3        | NOAA Weather Channel 3 (RX only)           |
| 30      | 162.475         | FM   | NOAA 4        | NOAA Weather Channel 4 (RX only)           |
| 31      | 162.500         | FM   | NOAA 5        | NOAA Weather Channel 5 (RX only)           |
| 32      | 162.525         | FM   | NOAA 6        | NOAA Weather Channel 6 (RX only)           |
| 33      | 162.550         | FM   | NOAA 7        | NOAA Weather Channel 7 (RX only)           |
| 34      | 146.520         | FM   | 2M Calling    | 2m calling frequency (amateur licence)     |
| 35      | 146.550         | FM   | 2M Simplex    | 2m simplex (amateur licence)               |
| 36      | 145.230         | FM   | 2M Rptr 1     | 2m repeater out, –0.6 MHz (amateur licence)|
| 37      | 145.290         | FM   | 2M Rptr 2     | 2m repeater out, –0.6 MHz (amateur licence)|
| 38      | 446.000         | FM   | 70CM Calling  | 70cm calling frequency (amateur licence)   |
| 39      | 446.050         | FM   | 70CM Simplex  | 70cm simplex (amateur licence)             |
| 40      | 444.100         | FM   | 70CM Rptr 1   | 70cm repeater out, +5 MHz (amateur licence)|
| 41      | 444.200         | FM   | 70CM Rptr 2   | 70cm repeater out, +5 MHz (amateur licence)|
| 42      | 156.050         | FM   | MARINE 1      | Marine ship-to-ship (RX only unless licensed) |
| 43      | 156.800         | FM   | MARINE 16     | Marine distress & calling (RX only)        |
| 44      | 156.850         | FM   | MARINE 17     | Marine inter-ship (RX only)                |
| 45      | 157.000         | FM   | MARINE 20     | Marine port ops (RX only)                  |
| 46      | 157.100         | FM   | MARINE 22A    | US Coast Guard liaison (RX only)           |
| 47      | 121.500         | AM   | AIR EMG       | Aviation emergency (RX only)               |
| 48      | 123.450         | AM   | AIR Chat      | Air-to-air chat (RX only)                  |
| 49      | 118.300         | AM   | LAX TWR       | Los Angeles Tower example (RX only)        |
| 50      | 88.5            | FM   | NPR LA        | NPR Los Angeles (FM preset, RX only)       |
| 51      | 91.5            | FM   | KUSC          | Classical KUSC LA (FM preset, RX only)     |
| 52      | 93.5            | FM   | KDAY          | Hip-hop KDAY LA (FM preset, RX only)       |
| 53      | 50.500          | FM   | 6M Calling    | 6m calling frequency (amateur licence)     |
| 54      | 51.500          | FM   | 6M Simplex    | 6m simplex (amateur licence)               |
| 55      | 1296.200        | FM   | 23CM Calling  | 23cm calling frequency (amateur licence)   |
| 56      | 1296.000        | FM   | 23CM Simplex  | 23cm simplex (amateur licence)             |
| 57      | 144.200         | SSB  | 2M SSB Call   | 2m SSB calling (amateur licence)           |
| 58      | 432.100         | SSB  | 70CM SSB Call | 70cm SSB calling (amateur licence)         |
| 59      | 144.390         | FM   | APRS US       | APRS North America (amateur licence)       |
| 60      | 145.350         | FM   | 2M Rptr 3     | 2m repeater out, –0.6 MHz (amateur licence)|
| 61      | 145.410         | FM   | 2M Rptr 4     | 2m repeater out, –0.6 MHz (amateur licence)|
| 62      | 444.300         | FM   | 70CM Rptr 3   | 70cm repeater out, +5 MHz (amateur licence)|
| 63      | 444.400         | FM   | 70CM Rptr 4   | 70cm repeater out, +5 MHz (amateur licence)|
| 64      | 156.300         | FM   | MARINE 6      | Marine safety (RX only)                    |
| 65      | 156.400         | FM   | MARINE 8      | Marine ship-to-ship (RX only)              |
| 66      | 156.450         | FM   | MARINE 9      | Marine ship-to-ship (RX only)              |
| 67      | 156.625         | FM   | MARINE 72     | Marine non-commercial (RX only)            |
| 68      | 156.675         | FM   | MARINE 73     | Marine port ops (RX only)                  |
| 69      | 156.925         | FM   | MARINE 78A    | Marine non-commercial (RX only)            |
| 70      | 157.050         | FM   | MARINE 81A    | Marine USCG (RX only)                      |
| 71      | 157.150         | FM   | MARINE 83A    | Marine USCG (RX only)                      |
| 72      | 118.000         | AM   | JFK TWR       | New York JFK Tower example (RX only)       |
| 73      | 124.400         | AM   | ORD APP       | Chicago O’Hare Approach (RX only)          |
| 74      | 119.100         | AM   | ATL TWR       | Atlanta Tower example (RX only)            |
| 75      | 125.900         | AM   | DFW APP       | Dallas/Fort Worth Approach (RX only)       |
| 76      | 95.5            | FM   | WSB ATL       | WSB Atlanta (FM preset, RX only)           |
| 77      | 97.1            | FM   | WDRV CHI      | The Drive Chicago (FM preset, RX only)     |
| 78      | 101.9           | FM   | KQXT SA       | Q101.9 San Antonio (FM preset, RX only)    |
| 79      | 104.5           | FM   | KFOG SF       | KFOG San Francisco (FM preset, RX only)    |
| 80      | 50.200          | FM   | 6M SSB Call   | 6m SSB calling (amateur licence)           |
| 81      | 52.525          | FM   | 6M FM Call    | 6m FM calling (amateur licence)            |
| 82      | 145.790         | FM   | ISS Downlink  | ISS amateur downlink (amateur licence)     |
| 83      | 144.600         | FM   | 2M Data       | 2m data freq example (amateur licence)     |
| 84      | 432.600         | FM   | 70CM Data     | 70cm data freq example (amateur licence)   |
| 85      | 1296.500        | FM   | 23CM Data     | 23cm data freq example (amateur licence)   |
| 86      | 50.800          | FM   | 6M Beacon     | 6m beacon freq example (amateur licence)   |
| 87      | 144.250         | FM   | 2M Beacon     | 2m beacon freq example (amateur licence)   |
| 88      | 432.500         | FM   | 70CM Beacon   | 70cm beacon example (amateur licence)      |
| 89      | 1297.000        | FM   | 23CM Beacon   | 23cm beacon example (amateur licence)      |
| 90      | 156.525         | FM   | MARINE 70     | DSC distress (RX only)                     |
| 91      | 156.575         | FM   | MARINE 71     | Marine non-commercial (RX only)            |
| 92      | 156.725         | FM   | MARINE 74     | Marine port ops (RX only)                  |
| 93      | 157.025         | FM   | MARINE 80A    | Marine non-commercial (RX only)            |
| 94      | 157.075         | FM   | MARINE 21A    | Marine USCG (RX only)                      |
| 95      | 123.100         | AM   | SAR AIR       | Search & Rescue air freq (RX only)         |
| 96      | 122.800         | AM   | UNICOM        | Unicom general aviation (RX only)          |
| 97      | 119.500         | AM   | DEN TWR       | Denver Tower example (RX only)             |
| 98      | 125.000         | AM   | SEA APP       | Seattle Approach example (RX only)         |
| 99      | 106.7           | FM   | KROQ LA       | KROQ Los Angeles (FM preset, RX only)      |
| 100     | 145.170         | FM   | 2M Rptr 5     | 2m repeater out, –0.6 MHz (amateur licence)|
| 101     | 145.430         | FM   | 2M Rptr 6     | 2m repeater out, –0.6 MHz (amateur licence)|
| 102     | 444.500         | FM   | 70CM Rptr 5   | 70cm repeater out, +5 MHz (amateur licence)|
| 103     | 444.600         | FM   | 70CM Rptr 6   | 70cm repeater out, +5 MHz (amateur licence)|
| 104     | 156.375         | FM   | MARINE 67     | US small craft safety (RX only)            |
| 105     | 156.650         | FM   | MARINE 13     | Bridge-to-bridge (RX only)                 |
