| Channel | Frequency (MHz) | Mode | Name          | Notes                                      |
|---------|-----------------|------|---------------|--------------------------------------------|
| 0       | 657.0           | AM   | KCBS Pyongyang| Main state radio, medium wave (RX only)    |
| 1       | 720.0           | AM   | KCBS Wiwon    | Regional relay, medium wave (RX only)      |
| 2       | 819.0           | AM   | KCBS Pyongyang| Main state radio, medium wave (RX only)    |
| 3       | 882.0           | AM   | KCBS Haeju    | Regional relay, medium wave (RX only)      |
| 4       | 1080.0          | AM   | KCBS Haeju    | Regional relay, medium wave (RX only)      |
| 5       | 90.5            | FM   | Pyongyang FM  | State music network (RX only)              |
| 6       | 93.8            | FM   | Pyongyang FM  | State music network (RX only)              |
| 7       | 96.1            | FM   | Pyongyang FM  | State music network (RX only)              |
| 8       | 145.500         | FM   | 2M Calling    | Amateur calling (RX/TX illegal w/o permit) |
| 9       | 145.425         | FM   | 2M Simplex    | Amateur simplex (RX/TX illegal w/o permit) |
| 10      | 145.625         | FM   | 2M Rptr BD5A  | Hypothetical repeater (RX/TX illegal)      |
| 11      | 145.675         | FM   | 2M Rptr BD5B  | Hypothetical repeater (RX/TX illegal)      |
| 12      | 433.500         | FM   | 70CM Calling  | Amateur calling (RX/TX illegal w/o permit) |
| 13      | 433.400         | FM   | 70CM Simplex  | Amateur simplex (RX/TX illegal w/o permit) |
| 14      | 434.600         | FM   | 70CM Rptr BD5C| Hypothetical repeater (RX/TX illegal)      |
| 15      | 434.650         | FM   | 70CM Rptr BD5D| Hypothetical repeater (RX/TX illegal)      |
| 16      | 156.050         | FM   | MARINE 1      | Marine ship-to-ship (RX only unless licensed) |
| 17      | 156.800         | FM   | MARINE 16     | Marine distress & calling (RX only)        |
| 18      | 156.850         | FM   | MARINE 17     | Marine inter-ship (RX only)                |
| 19      | 157.000         | FM   | MARINE 20     | Marine port ops (RX only)                  |
| 20      | 157.025         | FM   | MARINE 80     | Marine non-commercial (RX only)            |
| 21      | 121.500         | AM   | AIR EMG       | Aviation emergency (RX only)               |
| 22      | 123.450         | AM   | AIR Chat      | Air-to-air chat (RX only)                  |
| 23      | 118.100         | AM   | FNJ TWR       | Pyongyang Sunan Tower (RX only)            |
| 24      | 88.5            | FM   | KCBS FM       | State radio FM relay (RX only)             |
| 25      | 91.9            | FM   | Pyongyang FM  | State music network (RX only)              |
| 26      | 94.5            | FM   | KCBS FM       | State radio FM relay (RX only)             |
| 27      | 50.500          | FM   | 6M Calling    | Amateur calling (RX/TX illegal w/o permit) |
| 28      | 51.500          | FM   | 6M Simplex    | Amateur simplex (RX/TX illegal w/o permit) |
| 29      | 1296.200        | FM   | 23CM Calling  | Amateur calling (RX/TX illegal w/o permit) |
| 30      | 1296.000        | FM   | 23CM Simplex  | Amateur simplex (RX/TX illegal w/o permit) |
| 31      | 144.200         | SSB  | 2M SSB Call   | Amateur SSB (RX/TX illegal w/o permit)     |
| 32      | 432.100         | SSB  | 70CM SSB Call | Amateur SSB (RX/TX illegal w/o permit)     |
| 33      | 144.800         | FM   | APRS EU       | APRS (RX/TX illegal w/o permit)            |
| 34      | 145.650         | FM   | 2M Rptr BD5E  | Hypothetical repeater (RX/TX illegal)      |
| 35      | 145.700         | FM   | 2M Rptr BD5F  | Hypothetical repeater (RX/TX illegal)      |
| 36      | 434.675         | FM   | 70CM Rptr BD5G| Hypothetical repeater (RX/TX illegal)      |
| 37      | 434.700         | FM   | 70CM Rptr BD5H| Hypothetical repeater (RX/TX illegal)      |
| 38      | 156.300         | FM   | MARINE 6      | Marine safety (RX only)                    |
| 39      | 156.400         | FM   | MARINE 8      | Marine ship-to-ship (RX only)              |
| 40      | 156.450         | FM   | MARINE 9      | Marine ship-to-ship (RX only)              |
| 41      | 156.625         | FM   | MARINE 72     | Marine non-commercial (RX only)            |
| 42      | 156.675         | FM   | MARINE 73     | Marine port ops (RX only)                  |
| 43      | 156.925         | FM   | MARINE 78     | Marine non-commercial (RX only)            |
| 44      | 157.050         | FM   | MARINE 81     | Marine public correspondence (RX only)     |
| 45      | 157.100         | FM   | MARINE 82     | Marine public correspondence (RX only)     |
| 46      | 118.300         | AM   | KJI TWR       | Kaesong Tower (RX only, hypothetical)      |
| 47      | 125.900         | AM   | FNJ APP       | Pyongyang Approach (RX only)               |
| 48      | 97.5            | FM   | Pyongyang FM  | State music network (RX only)              |
| 49      | 99.0            | FM   | KCBS FM       | State radio FM relay (RX only)             |
| 50      | 101.5           | FM   | Pyongyang FM  | State music network (RX only)              |
| 51      | 50.200          | FM   | 6M SSB Call   | Amateur SSB (RX/TX illegal w/o permit)     |
| 52      | 51.000          | FM   | 6M Alt Call   | Amateur alternate (RX/TX illegal w/o permit)|
| 53      | 145.200         | FM   | 2M Alt Call   | Amateur alternate (RX/TX illegal w/o permit)|
| 54      | 433.425         | FM   | 70CM Alt Call | Amateur alternate (RX/TX illegal w/o permit)|
| 55      | 156.525         | FM   | MARINE 70     | DSC distress (RX only)                     |
| 56      | 156.575         | FM   | MARINE 71     | Marine non-commercial (RX only)            |
| 57      | 156.725         | FM   | MARINE 74     | Marine port ops (RX only)                  |
| 58      | 157.150         | FM   | MARINE 83     | Marine public correspondence (RX only)     |
| 59      | 123.100         | AM   | SAR AIR       | Search & Rescue air freq (RX only)         |
| 60      | 118.500         | AM   | WON TWR       | Wonsan Tower (RX only)                     |
| 61      | 103.0           | FM   | KCBS FM       | State radio FM relay (RX only)             |
| 62      | 105.0           | FM   | Pyongyang FM  | State music network (RX only)              |
| 63      | 107.0           | FM   | KCBS FM       | State radio FM relay (RX only)             |
| 64      | 50.800          | FM   | 6M Beacon     | Amateur beacon (RX/TX illegal w/o permit)  |
| 65      | 144.250         | FM   | 2M Beacon     | Amateur beacon (RX/TX illegal w/o permit)  |
| 66      | 432.500         | FM   | 70CM Beacon   | Amateur beacon (RX/TX illegal w/o permit)  |
| 67      | 1297.000        | FM   | 23CM Beacon   | Amateur beacon (RX/TX illegal w/o permit)  |
| 68      | 156.375         | FM   | MARINE 67     | Marine small craft safety (RX only)        |
| 69      | 156.650         | FM   | MARINE 13     | Bridge-to-bridge (RX only)                 |
| 70      | 156.600         | FM   | MARINE 12     | Marine port ops (RX only)                  |
| 71      | 156.700         | FM   | MARINE 14     | Marine port ops (RX only)                  |
| 72      | 156.875         | FM   | MARINE 77     | Marine inter-ship (RX only)                |
| 73      | 119.700         | AM   | SIN TWR       | Sinuiju Tower (RX only)                    |
| 74      | 125.500         | AM   | HAE APP       | Haeju Approach (RX only, hypothetical)     |
| 75      | 88.0            | FM   | KCBS FM       | State radio FM relay (RX only)             |
| 76      | 92.0            | FM   | Pyongyang FM  | State music network (RX only)              |
| 77      | 95.0            | FM   | KCBS FM       | State radio FM relay (RX only)             |
| 78      | 145.725         | FM   | 2M Rptr BD5I  | Hypothetical repeater (RX/TX illegal)      |
| 79      | 145.775         | FM   | 2M Rptr BD5J  | Hypothetical repeater (RX/TX illegal)      |
| 80      | 434.725         | FM   | 70CM Rptr BD5K| Hypothetical repeater (RX/TX illegal)      |
| 81      | 434.750         | FM   | 70CM Rptr BD5L| Hypothetical repeater (RX/TX illegal)      |
| 82      | 156.475         | FM   | MARINE 69     | Marine non-commercial (RX only)            |
| 83      | 157.200         | FM   | MARINE 84     | Marine public correspondence (RX only)     |
| 84      | 157.250         | FM   | MARINE 85     | Marine public correspondence (RX only)     |
| 85      | 157.300         | FM   | MARINE 86     | Marine public correspondence (RX only)     |
| 86      | 157.350         | FM   | MARINE 87     | Marine public correspondence (RX only)     |
| 87      | 157.400         | FM   | MARINE 88     | Marine public correspondence (RX only)     |
| 88      | 119.300         | AM   | CHG TWR       | Chongjin Tower (RX only)                   |
| 89      | 98.0            | FM   | Pyongyang FM  | State music network (RX only)              |
| 90      | 100.0           | FM   | KCBS FM       | State radio FM relay (RX only)             |
| 91      | 102.0           | FM   | Pyongyang FM  | State music network (RX only)              |
| 92      | 104.0           | FM   | KCBS FM       | State radio FM relay (RX only)             |
| 93      | 145.600         | FM   | 2M Rptr BD5M  | Hypothetical repeater (RX/TX illegal)      |
| 94      | 145.650         | FM   | 2M Rptr BD5N  | Hypothetical repeater (RX/TX illegal)      |
| 95      | 434.775         | FM   | 70CM Rptr BD5O| Hypothetical repeater (RX/TX illegal)      |
| 96      | 434.800         | FM   | 70CM Rptr BD5P| Hypothetical repeater (RX/TX illegal)      |
| 97      | 156.750         | FM   | MARINE 15     | Marine inter-ship (RX only)                |
| 98      | 119.500         | AM   | HSN TWR       | Hamhung Tower (RX only)                    |
| 99      | 106.0           | FM   | Pyongyang FM  | State music network (RX only)              |
| 100     | 50.000          | FM   | 6M Low Edge   | 6m band edge (RX/TX illegal w/o permit)    |
| 101     | 52.000          | FM   | 6M High Edge  | 6m band edge (RX/TX illegal w/o permit)    |
| 102     | 144.000         | FM   | 2M Low Edge   | 2m band edge (RX/TX illegal w/o permit)    |
